gid,ply,spend
g1uHWeF9,76,2.0
F6nrA5e1,30,1.0
cc166021517360,42,0.1
cc121216193202,25,1.9
80wAnnQX,29,2.0
zP9b9bRf,37,1.0
cc120221663820,60,1.3
cc120888357086,29,1.4
pbXuNUbe,33,2.0
vvoJl3Ii,47,2.0
6zxHMHD1,38,2.0
0sUO8zJz,31,1.0
buScQckP,39,1.0
atBrJwaj,63,2.0
6kMIoJGg,45,2.0
uoUG2Ade,25,1.0
XAqyzZYj,34,2.0
RfmYmSBy,40,2.0
W2HUKA9C,28,2.0
mXCU1EMc,35,1.0
fXCp5Tbo,26,1.0
7ZkzIVZn,36,2.0
JfywY3FO,49,2.0
a6BIRftW,58,2.0
2HffPMHp,37,2.0
J2oXE26R,36,1.0
dQ5G8kuD,46,1.0
Q6T8aPr0,33,2.0
cc165950114876,49,1.4
7ZkzIVZn,26,1.0
n6tQISla,25,2.0
Us2nY3PT,44,2.0
DtJVsuh5,45,2.0
cc119487676466,47,1.2
7HdnFtef,26,1.0
iXBAw8Yl,28,2.0
be8xFMRY,49,2.0
PNNc1anf,42,2.0
iyQBn7Va,79,2.0
TEYRoHvm,38,2.0
cvjQG3LO,33,1.0
bLMTfL2X,28,2.0
02wd52ht,27,1.0
vlWrD6YW,41,2.0
ves77YMV,45,1.0
ZmZXNcGj,40,1.0
cc120068684706,37,1.8
36hQrFTC,53,2.0
q1u46F9B,37,1.0
cc120965048470,44,1.0
cc166366825786,57,1.2
IKPL1BxW,58,2.0
ht6Z8FFT,29,2.0
31d7m27Q,68,2.0
VseW78OJ,25,2.0
cc120084199924,27,1.7
kPFowPL7,58,2.0
PYlbtOBd,58,2.0
cc165741055080,45,1.5
wfH1E4pB,45,2.0
vEA7WoWS,43,2.0
Nkz4CE7l,36,1.0
jEXNQ2gy,32,1.0
GECfbwcm,61,1.0
71zZ8BNL,71,1.0
cc119516125306,59,0.1
ELFKmR3r,44,1.0
Q2RktvWX,32,2.0
O72tTTOv,51,2.0
cc119988572984,35,2.0
UlL9N40C,44,1.0
PBi3ng9V,41,1.0
wlWYZuWC,53,2.0
brje8I1g,32,1.0
efFqFuSV,52,2.0
6r340LVx,27,2.0
oa1V9Syi,32,1.0
9sgXPedm,35,1.0
9FO0I0Yz,32,1.0
yL3RYm70,56,1.0
CNPm3iLf,36,2.0
6GlSedmJ,34,2.0
uqG2vnDa,49,1.0
YP2jyWfs,59,1.0
f6PccPB0,39,2.0
cc121497875308,25,0.5
H8jbytS7,44,2.0
MRT0IybB,32,1.0
HtkGeUri,44,2.0
xYGplLAg,30,2.0
vTEM84jV,30,1.0
cc120281162536,38,1.4
9E1sGKTn,44,1.0
lDW7iuKb,50,2.0
RHCqHr0O,59,1.0
cc120301523048,33,1.5
5RTFBdsY,27,2.0
matyWX2u,53,2.0
VBniLek2,35,2.0
DoLFc4eP,32,2.0
hdj1NTkB,32,2.0
l0D8RGtk,37,2.0
cc119541639080,57,1.0
gNQgIFpa,54,2.0
yjs9dLDw,39,1.0
D94DPRSy,68,2.0
hNkgAitv,30,1.0
e1hSpSMm,37,2.0
J6iHL1t7,33,2.0
pSN32CtY,85,2.0
ms7dc1df,41,2.0
5FGN0dd2,31,1.0
lK30gafY,50,0.0
cc121083981464,54,1.7
yhhTCYWz,49,2.0
SXDJl95I,53,2.0
ni5UWfAR,41,1.0
A9NZkUl4,38,0.0
3mrLxCW5,45,2.0
ZKj0swE0,74,2.0
TxUaIJ4j,42,2.0
qWwFkvek,33,1.0
02wd52ht,31,2.0
6iet1pUE,49,1.0
pxzHtDDt,49,2.0
RMf2W8El,39,2.0
cc120011333060,49,0.9
GugYbzmi,34,2.0
lkuS3URw,25,2.0
fhdVAYTs,62,2.0
pbXuNUbe,45,2.0
b4ZBdcn7,53,1.0
VewHz3z4,45,2.0
zP9b9bRf,25,2.0
cc166196783252,44,2.0
s4YN2ETT,47,2.0
EvnTn4Jq,32,1.0
Rdm0qoso,44,2.0
FqCgbeKd,63,2.0
raTJ4GYR,34,1.0
cc120927978228,28,1.2
t52F8RIl,26,0.0
ej7lZjOY,25,2.0
cc119474467216,39,1.5
cX4g3zik,34,0.0
RoLhM5Yk,35,2.0
rFbEOUdS,42,2.0
G5ZGypY4,30,2.0
fGiQjczn,41,20.0
78JLKMpe,34,11.0
CNPm3iLf,30,10.0
Lp4j0UwD,50,9.0
RKfwJiWE,47,12.0
KxEnOSWH,36,17.0
9zj7YWup,43,8.0
cc119477017816,33,33.1
YC2B6lA7,30,19.0
fiNuJcjr,30,17.0
jsQ3fiO1,28,12.0
2AV7TD8q,47,10.0
I08VrWvj,35,8.0
hPyESgss,32,8.0
ek2fHnJn,49,16.0
EvnTn4Jq,34,9.0
cc119870450890,33,16.4
0U3l2yqI,25,23.0
h5BvzMM6,28,13.0
6R8OBgfV,32,19.0
cc121272035750,27,24.8
eisXBfUf,44,8.0
YjmC1JyT,48,25.0
YgGk4uXl,50,50.0
cc119879532580,30,12.6
wkLlim0I,38,10.0
FLutmJr4,32,31.0
ej0A5wHa,36,10.0
cc120696318512,43,29.4
gvpy8eJj,42,42.0
eWt21HZq,49,8.0
cc119495948822,27,25.8
IiXXthdL,33,16.0
jUszqVLp,33,8.0
TEmQ6zQS,38,13.0
N51pNqum,27,12.0
VhMcLVNk,25,8.0
eHLEnklP,29,9.0
rgS6jJJE,46,24.0
DOjlhhMA,35,10.0
cc120844577450,27,11.8
T85mptTa,38,38.0
GugYbzmi,36,9.0
UQ8w52M8,35,11.0
cc120832899760,27,12.6
cc120754407206,26,12.6
fCPfyaz6,32,15.0
cc119477017816,27,36.6
oDVfeM04,33,16.0
TMQhX3Il,38,25.0
DIIiry4G,62,11.0
cc165867813158,44,11.0
B6Tkyq6R,54,8.0
OS1ab7Ps,33,8.0
R1AqG4aN,31,8.0
DtJVsuh5,35,10.0
XhYYTA2C,30,13.0
CzCdwz0v,44,16.0
WMO6UCD3,42,25.0
2tY06mQ0,25,11.0
OxYu2GP1,59,14.0
c9Gev0sI,38,11.0
ZS00cXb7,33,17.0
sG32ubVS,47,13.0
H1apLY6u,32,9.0
awFx69Mm,45,11.0
oa0MfScz,35,21.0
tKqdUSQ4,39,16.0
ram7QebC,53,8.0
